Team Name,PLAYER
COOP'S GROUP 1,Viktor Hovland
COOP'S GROUP 1,Collin Morikawa
COOP'S GROUP 2,Rory McIlroy
COOP'S GROUP 2,Dustin Johnson
COOP'S GROUP 2,Corey Conners
COOP'S GROUP 2,Brooks Koepka
COOP'S GROUP 2,Bryson DeChambeau
COOP'S GROUP 2,Jon Rahm
COOP'S GROUP 2,Justin Thomas
COREYNATION STREET,Jon Rahm
COREYNATION STREET,Sam Burns
COREYNATION STREET,Tony Finau
COREYNATION STREET,Corey Conners
COREYNATION STREET,Rory McIlroy
COREYNATION STREET,Hideki Matsuyama
COREYNATION STREET,Brooks Koepka
COTTAGE COLD,Tony Finau
COTTAGE COLD,Jon Rahm
COTTAGE COLD,Collin Morikawa
COTTAGE COLD,Rory McIlroy
COTTAGE COLD,Scottie Scheffler
COTTAGE COLD,Justin Thomas
COTTAGE COLD,Jordan Spieth
COWBOYS,Matt Fitzpatrick
COWBOYS,Tony Finau
COWBOYS,Corey Conners
COWBOYS,Scottie Scheffler
COWBOYS,Rory McIlroy
COWBOYS,Jon Rahm
COWBOYS,Justin Thomas
CSK,Sungjae Im
CSK,Will Zalatoris
CSK,Shane Lowry
CSK,Matt Fitzpatrick
CSK,Justin Rose
CSK,Justin Thomas
CSK,Rory McIlroy
CURLEY,Shane Lowry
CURLEY,Cameron Smith
CURLEY,Scottie Scheffler
CURLEY,Will Zalatoris
CURLEY,Jon Rahm
CURLEY,Justin Thomas
CURLEY,Rory McIlroy
D.A.D.,Viktor Hovland
D.A.D.,Davis Riley
D.A.D.,Will Zalatoris
D.A.D.,Patrick Cantlay
D.A.D.,Tony Finau
D.A.D.,Sam Burns
D.A.D.,Scottie Scheffler
DAN S,Cameron Smith
DAN S,Scottie Scheffler
DAN S,Jon Rahm
DAN S,Patrick Cantlay
DAN S,Justin Thomas
DAN S,Xander Schauffele
DAN S,Rory McIlroy
DAVE MACKENZIE,Sam Burns
DAVE MACKENZIE,Justin Thomas
DAVE MACKENZIE,Rory McIlroy
DAVE MACKENZIE,Matt Fitzpatrick
DAVE MACKENZIE,Will Zalatoris
DAVE MACKENZIE,Scottie Scheffler
DAVE MACKENZIE,Cameron Smith
DENISE MATTHEWS,Will Zalatoris
DENISE MATTHEWS,Xander Schauffele
DENISE MATTHEWS,Sam Burns
DENISE MATTHEWS,Justin Thomas
DENISE MATTHEWS,Jon Rahm
DENISE MATTHEWS,Joaquin Niemann
DENISE MATTHEWS,Scottie Scheffler
DIANNE PARISIEN,Justin Thomas
DIANNE PARISIEN,Brooks Koepka
DIANNE PARISIEN,Cameron Smith
DIANNE PARISIEN,Scottie Scheffler
DIANNE PARISIEN,Sam Burns
DIANNE PARISIEN,Rory McIlroy
DIANNE PARISIEN,Corey Conners
DIPPER,Justin Thomas
DIPPER,Scottie Scheffler
